id,objectType,ownerId,updatedAt,createdAt,title,description,geometry,Attribution,Category,Color,ConnectedObjectType,ConnectedTo,ConnectedToExternalId,Deleted,ExternalId,FormerExternalId,IconCategory,Keyword,NewTrackedObject,NoAutoArchive,Reminder,SIMULATED,SessionId,Shape,otherTags
WBZiM_LAsuFRpzBQoDBXRA,POI,7uWsANxR2P6avQyqQ00pVw,2023-07-03T14:21:20.459060Z,2022-02-03T15:17:56.464Z,Auslieferung (30 / 30),,"{""type"":""Point""_COMMA_""coordinates"":[9.00936073984576_COMMA_50.720507652098945]}",,,Red,Floor,Ts93sGSfJO8vBiHXzqEBcA,smart-factory-0,,,,Regal,storage,,,,,,Diamond,"BuildingId:IWq_P9xkSdaR4nEpIRjyNA,FloorId:Ts93sGSfJO8vBiHXzqEBcA,FloorLevel:0.0,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
2yCqgUl6Mz8_SMMkD4mIhw,POI,7uWsANxR2P6avQyqQ00pVw,2023-07-03T14:21:08.298850Z,2022-02-03T15:18:20.989Z,Auslieferung (20 / 30),,"{""type"":""Point""_COMMA_""coordinates"":[9.009247208475358_COMMA_50.720469051411385]}",,,Orange,Floor,Ts93sGSfJO8vBiHXzqEBcA,smart-factory-0,,,,Regal,storage,,,,,,Diamond,"BuildingId:IWq_P9xkSdaR4nEpIRjyNA,FloorId:Ts93sGSfJO8vBiHXzqEBcA,FloorLevel:0.0,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
gtJ8flCkVfsWBi-iTfkahQ,POI,7uWsANxR2P6avQyqQ00pVw,2023-07-03T14:20:55.105737Z,2022-02-03T15:19:07.649Z,Auslieferung (0 / 30),,"{""type"":""Point""_COMMA_""coordinates"":[9.00910640169343_COMMA_50.7204310091594]}",,,DarkGreen,Floor,Ts93sGSfJO8vBiHXzqEBcA,smart-factory-0,,,,Regal,storage,,,,,,Diamond,"BuildingId:IWq_P9xkSdaR4nEpIRjyNA,FloorId:Ts93sGSfJO8vBiHXzqEBcA,FloorLevel:0.0,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
sohaCB5mRMAaLmYNib70cg,POI,7uWsANxR2P6avQyqQ00pVw,2023-07-03T14:17:24.717390Z,2022-02-03T14:43:05.401Z,Oil spill,,"{""type"":""Point""_COMMA_""coordinates"":[9.009397855188922_COMMA_50.720738191866445]}",,,Red,Floor,Ts93sGSfJO8vBiHXzqEBcA,smart-factory-0,,,,Caution,"smart-factory-0,fm",,,,,,TriangleUp,"BuildingId:IWq_P9xkSdaR4nEpIRjyNA,FloorId:Ts93sGSfJO8vBiHXzqEBcA,FloorLevel:0.0,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
3m5thyVvZnMKukIqIrhYHQ,POI,v6x2stTEE5njhCn1gSYVsA,2023-07-03T11:06:47.973992Z,2023-04-27T12:28:29.338336Z,Reception Desk,,"{""type"":""Point""_COMMA_""coordinates"":[13.386270544352442_COMMA_52.501736830477455]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,8QNO1UH2KD,,Desk,"party business,formation-hq-office-floor-0",,,,,,Diamond,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
SPEW8seb4lW1o8MfA12JWw,POI,v6x2stTEE5njhCn1gSYVsA,2023-06-28T07:57:45.473634Z,2023-06-05T14:49:26.943690Z,Trash can,,"{""type"":""Point""_COMMA_""coordinates"":[13.386263180309015_COMMA_52.50174246294699]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,5FUISGZIBV,,Bin,,,,,,,Circle,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
pSisBsGZdqDdNpsZ8aA8SA,POI,9w66dJdB6bIfyoxniT9lnQ,2023-06-27T14:49:17.836446Z,2023-06-27T14:49:17.836446Z,Window,,"{""type"":""Point""_COMMA_""coordinates"":[13.386096934813054_COMMA_52.50193516895058]}",,,LightBlueAlt,,,,,,,Coil,storage,,,,,,SquareWithPointer,"ObjectType:POI,Creator:9w66dJdB6bIfyoxniT9lnQ:Ian Hannigan"
08iP_zyg936DSdDWPUTlKQ,POI,7uWsANxR2P6avQyqQ00pVw,2023-06-27T11:45:31.905487Z,2023-04-27T13:02:54.472107Z,Box,,"{""type"":""Point""_COMMA_""coordinates"":[9.007265565099942_COMMA_50.7222800422453]}",,,Blue,Floor,6ZYPT7wJwAltSckua84Fog,,,,,SingelBox,,,,,,,Circle,"PollVote:00d9a5a5-a976-40af-8a15-d44daa28bb5e|7uWsANxR2P6avQyqQ00pVw,PollVote:2c211fa7-7972-4d83-ace8-7b9e37b3a66b|9w66dJdB6bIfyoxniT9lnQ,BuildingId:QLl1vDMzoXc-dPjdtrIsgg,FloorId:6ZYPT7wJwAltSckua84Fog,FloorLevel:0.0,ObjectType:POI,Creator:7uWsANxR2P6avQyqQ00pVw:Philipp Stelzer"
EjVZVyq7n6fCXfBTMqvYqA,POI,0ce06a1a-20d8-4165-abf6-84f8f37afcbf,2023-06-12T13:11:39.401949Z,2023-04-26T12:58:23.574686Z,Bose Speaker,,"{""type"":""Point""_COMMA_""coordinates"":[13.38628249153237_COMMA_52.50174921183316]}",,,LightBlueAlt,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,b5CUQqKpZE,,Music,"party business,formation-hq-workspace-0,formation-hq-office-floor-0",,,,,,Circle,"PollVote:3d4b87e4-0be8-4fcf-94f3-56bfad467670|v6x2stTEE5njhCn1gSYVsA,PollVote:3d4b87e4-0be8-4fcf-94f3-56bfad467670|anonymous,PollVote:3d4b87e4-0be8-4fcf-94f3-56bfad467670|5c2IazSGzUb68SBETOxrDQ,PollVote:3d4b87e4-0be8-4fcf-94f3-56bfad467670|pXiW3i_H9TLkHwe8_NthIA,PollVote:3d4b87e4-0be8-4fcf-94f3-56bfad467670|T6ljbcDJTYti8gUsLZAGlQ,PollVote:a6fa86fa-9a73-4b43-9a0c-97c3aaf891b2|P_wZdmld_EY6PSW4gZMcgg,BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:0ce06a1a-20d8-4165-abf6-84f8f37afcbf:Jilles van Gurp"
dT8U7mupcaZw8V5CfnEb1Q,POI,0ce06a1a-20d8-4165-abf6-84f8f37afcbf,2023-06-05T14:20:25.098973Z,2023-04-26T13:04:59.646188Z,Toilet,,"{""type"":""Point""_COMMA_""coordinates"":[13.386360327018224_COMMA_52.50182110916657]}",,,AquaMarine,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,GenderMale,"formation-hq-workspace-0,formation-hq-office-floor-0",,,,,,Diamond,"PollVote:95bd9317-e767-4cca-b40d-9f50093a641e|v6x2stTEE5njhCn1gSYVsA,PollVote:95bd9317-e767-4cca-b40d-9f50093a641e|anonymous,PollVote:c20853ec-1de1-42a0-8c2f-a11e028fc3a2|T6ljbcDJTYti8gUsLZAGlQ,PollVote:c20853ec-1de1-42a0-8c2f-a11e028fc3a2|E-Ys10CXaCPAVlRR5aAjAw,PollVote:125a4bc1-4ee4-4d8a-8c34-12dcbf512e7d|5c2IazSGzUb68SBETOxrDQ,PollVote:125a4bc1-4ee4-4d8a-8c34-12dcbf512e7d|P_wZdmld_EY6PSW4gZMcgg,BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:0ce06a1a-20d8-4165-abf6-84f8f37afcbf:Jilles van Gurp"
